City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Cieza,ES,38.24,-1.4199,66.15,86,100,1.88,overcast clouds
178,Sinnamary,GF,5.3833,-52.95,80.08,80,40,9.53,scattered clouds
179,Hami,CN,42.8,93.45,54.43,28,99,8.03,overcast clouds
180,Puerto Escondido,MX,15.85,-97.0667,80.76,82,52,2.57,broken clouds
181,Ewa Beach,US,21.3156,-158.0072,84.15,64,75,6.91,broken clouds
182,Ketchikan,US,55.3422,-131.6461,42.78,88,100,6.31,light rain
183,Kangaatsiaq,GL,68.3065,-53.4641,30.06,86,77,11.18,broken clouds
184,Bilma,NE,18.6853,12.9164,79.77,21,0,7.94,clear sky
185,Akyab,MM,20.15,92.9,84.54,75,100,1.92,overcast clouds
186,Yar-Sale,RU,66.8333,70.8333,31.5,76,48,12.41,scattered clouds
187,Saldanha,ZA,-33.0117,17.9442,52.7,67,77,9.98,broken clouds
188,Tarbagatay,RU,51.4803,107.3602,44.13,71,100,10.71,light rain
189,Iqaluit,CA,63.7506,-68.5145,35.73,66,0,4.18,clear sky
190,Hofn,IS,64.2539,-15.2082,45.36,73,86,23.58,overcast clouds
191,Guarapari,BR,-20.6667,-40.4975,76.89,94,18,8.08,few clouds
192,Ust-Maya,RU,60.4167,134.5333,35.01,68,98,4.52,overcast clouds
193,Chumikan,RU,54.7183,135.315,47.79,50,37,9.89,scattered clouds
194,Tuktoyaktuk,CA,69.4541,-133.0374,35.4,91,100,22.41,overcast clouds
195,Souillac,MU,-20.5167,57.5167,76.35,73,40,16.11,scattered clouds
196,Orlik,RU,52.5178,99.825,30.97,79,100,2.68,light snow
197,Mount Isa,AU,-20.7333,139.5,101.97,8,0,13.8,clear sky
198,Kautokeino,NO,69.0125,23.0412,42.3,82,88,26.64,overcast clouds
199,Esperance,AU,-33.8667,121.9,58.84,59,86,27,overcast clouds
200,Libreville,GA,0.3925,9.4537,77.02,94,75,5.75,moderate rain
201,Alghero,IT,40.5589,8.3181,59.09,100,20,1.14,mist
202,Turukhansk,RU,65.8167,87.9833,34.88,83,99,1.77,overcast clouds
203,La Ronge,CA,55.1001,-105.2842,55.65,54,100,9.22,overcast clouds
204,Valdemarpils,LV,57.3707,22.5919,44.02,91,29,10.74,scattered clouds
205,Cidreira,BR,-30.1811,-50.2056,63.68,86,61,11.74,broken clouds
206,Sisimiut,GL,66.9395,-53.6735,33.57,75,35,10.54,scattered clouds
207,Port Hawkesbury,CA,45.6169,-61.3485,53.69,91,90,3,overcast clouds
208,Port Hedland,AU,-20.3167,118.5667,87.85,12,3,5.75,clear sky
209,Holland,US,42.7875,-86.1089,70.02,73,75,3.44,broken clouds
210,Hervey Bay,AU,-25.2986,152.8535,80.71,76,0,14.79,clear sky
211,Ginir,ET,7.1333,40.7,61.12,76,88,2.42,overcast clouds
212,Hasaki,JP,35.7333,140.8333,77.4,67,3,10.02,clear sky
213,Bull Savanna,JM,17.8868,-77.5902,76.15,82,92,5.32,overcast clouds
214,Davila,PH,18.4726,120.5763,86.88,69,59,18.66,broken clouds
215,Sorland,NO,67.667,12.6934,53.06,82,100,19.3,overcast clouds
216,Dayong,CN,25.0209,118.2898,87.03,54,0,4.81,clear sky
217,Acarau,BR,-2.8856,-40.12,78.42,82,5,16.02,clear sky
218,Saskylakh,RU,71.9167,114.0833,22.06,95,89,7.11,overcast clouds
219,Gorontalo,ID,0.5412,123.0595,85.48,72,100,3,overcast clouds
220,Roma,US,43.2128,-75.4557,61.66,93,75,0,broken clouds
221,Zhizdra,RU,53.746,34.7395,39.34,91,19,5.3,few clouds
222,La Cruz,MX,23.9167,-106.9,79.99,81,97,4.81,overcast clouds
223,Strezhevoy,RU,60.7333,77.5889,33.78,86,100,2.86,overcast clouds
224,Wenling,CN,28.3669,121.36,90.91,63,7,8.97,clear sky
225,Hurghada,EG,27.2574,33.8129,73.26,70,0,19.55,clear sky
226,Bergen,NO,60.392,5.328,59.14,57,0,12.66,light rain
227,Tuatapere,NZ,-46.1333,167.6833,54.82,73,100,3.4,overcast clouds
228,Poum,NC,-20.2333,164.0167,75.7,81,4,8.97,clear sky
229,Dikson,RU,73.5069,80.5464,34.25,85,100,12.17,overcast clouds
230,Aras,ES,42.5617,-2.356,69.6,85,0,1.14,clear sky
231,Saint Anthony,US,45.0205,-93.218,66.24,92,90,3,overcast clouds
232,Voh,NC,-20.9667,164.7,77.52,73,74,3.49,broken clouds
233,Novyy Urgal,RU,51.0736,132.5642,47.91,42,38,1.81,scattered clouds
234,Mantua,IT,45.1667,10.7833,65.44,85,52,3,broken clouds
235,Karratha,AU,-20.7377,116.8463,82.99,21,4,7.61,clear sky
236,Hilo,US,19.7297,-155.09,78.28,85,40,5.75,light rain
237,Koslan,RU,63.4564,48.8989,41.45,94,100,2.28,overcast clouds
238,Colesberg,ZA,-30.72,25.0972,35.55,72,1,8.3,clear sky
239,Mount Gambier,AU,-37.8333,140.7667,57.56,95,98,9.84,overcast clouds
240,Makakilo City,US,21.3469,-158.0858,79.12,66,90,6.91,light intensity drizzle
241,Inzer,RU,54.2167,57.5556,40.57,92,96,3.13,overcast clouds
242,Diamantino,BR,-14.4086,-56.4461,79.2,54,1,5.61,clear sky
243,Flagstaff,US,35.1981,-111.6513,59.79,59,56,1.99,broken clouds
244,Portland,US,45.5234,-122.6762,62.55,75,1,1.01,clear sky
245,Gobabis,NA,-22.45,18.9667,46.35,27,0,8.95,clear sky
246,Pitimbu,BR,-7.4706,-34.8086,75.79,83,7,13.04,clear sky
247,Mweka,CD,-4.85,21.5667,67.8,99,100,0.89,light rain
248,Alofi,NU,-19.0595,-169.9187,75.09,94,100,16.11,light rain
249,Ilo,PE,-17.6394,-71.3375,61.09,82,34,8.34,scattered clouds
250,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,40,16.11,scattered clouds
251,San Luis,AR,-33.295,-66.3356,46.63,23,0,8.21,clear sky
252,Longyearbyen,SJ,78.2186,15.6401,35.44,93,75,1.14,light rain
253,Kloulklubed,PW,7.0419,134.2556,84.7,75,82,10.94,broken clouds
254,Bonavista,CA,48.6499,-53.1147,54.12,86,33,9.35,scattered clouds
255,Bandarbeyla,SO,9.4942,50.8122,79.81,78,58,23.55,broken clouds
256,Chicama,PE,-7.8447,-79.1469,63.39,81,48,4.32,scattered clouds
257,Guerrero Negro,MX,27.9769,-114.0611,73.89,73,61,11.07,broken clouds
258,Biak,ID,-0.9131,122.8766,82.71,72,72,4.65,broken clouds
259,Carutapera,BR,-1.195,-46.02,77.79,77,28,6.87,scattered clouds
260,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,92,95,6.11,overcast clouds
261,Khandbari,NP,27.3747,87.2039,68.79,95,100,2.59,overcast clouds
262,Buctzotz,MX,21.2,-88.7833,73.35,94,35,3.85,scattered clouds
263,Nuuk,GL,64.1835,-51.7216,34.41,80,20,12.66,few clouds
264,Eenhana,NA,-17.4667,16.3333,51.55,13,6,4.16,clear sky
265,Camocim,BR,-2.9022,-40.8411,77.47,81,5,13.2,clear sky
266,Saumur,FR,47.3333,-0.25,57.88,99,100,17.94,overcast clouds
267,Necochea,AR,-38.5473,-58.7368,47.03,83,34,19.66,scattered clouds
268,Bacungan,PH,9.9106,118.7022,87.28,66,76,2.8,broken clouds
269,Gryazi,RU,52.4966,39.9359,41.18,75,65,5.12,broken clouds
270,Belyy Yar,RU,53.6039,91.3903,40.89,52,0,13.42,clear sky
271,Segovia,ES,41.1667,-4,57.06,64,94,5.79,overcast clouds
272,Kamenka,RU,51.3223,42.7678,47.75,69,97,6.76,overcast clouds
273,San Cristobal,VE,7.7669,-72.225,73.58,88,21,1.79,few clouds
274,Lavrentiya,RU,65.5833,-171,25.9,76,4,5.14,clear sky
275,Jalu,LY,29.0331,21.5482,65.95,63,1,8.1,clear sky
276,Victoria,HK,22.2855,114.1577,87.96,83,58,7,light rain
277,Loxstedt,DE,53.4667,8.65,64.31,84,100,20.54,overcast clouds
278,Bure,ET,10.7,37.0667,54.97,93,28,3.83,scattered clouds
279,Shakiso,ET,5.75,38.9167,59.95,92,64,1.63,broken clouds
280,Pierre,US,44.3683,-100.351,63.05,86,1,4,clear sky
281,Te Anau,NZ,-45.4167,167.7167,55.11,64,100,1.19,moderate rain
282,Xuddur,SO,4.1213,43.8894,71.96,76,58,12.26,broken clouds
283,Den Helder,NL,52.9599,4.7593,58.98,84,75,17,broken clouds
284,Tucurui,BR,-3.7661,-49.6725,75.49,89,100,1.92,overcast clouds
285,Meulaboh,ID,4.1363,96.1285,83.46,68,94,2.3,overcast clouds
286,Georgetown,MY,5.4112,100.3354,88.9,71,20,1.99,few clouds
287,Youkounkoun,GN,12.5333,-13.1333,73.85,94,28,2.48,scattered clouds
288,Panama City,PA,8.9936,-79.5197,81.05,86,90,6.91,overcast clouds
289,Maralal,KE,1.0968,36.698,61.05,64,98,2.48,overcast clouds
290,Mikhaylovka,RU,50.06,43.2379,45.21,51,7,3.62,clear sky
291,Nago,JP,26.5881,127.9761,87.96,73,16,17.31,few clouds
292,Carnarvon,AU,-24.8667,113.6333,69.87,64,90,19.57,overcast clouds
293,Bubaque,GW,11.2833,-15.8333,81.25,78,92,8.72,light rain
294,Faanui,PF,-16.4833,-151.75,79.23,71,8,10.6,clear sky
295,Port Blair,IN,11.6667,92.75,82.44,89,75,9.22,broken clouds
